,Unnamed: 0,post_code,city,consumption_range_kwh,supplier,tariff,rank,price_year_eur,spot_peak,spot_base,strat_index,validity_period,date
0,850162,51103,Köln,8000,Criador,Meltan,46.5,2279.0,109.09333333333332,110.52541666666669,2,4 days,2021-09-04
1,850162,51103,Köln,8000,Criador,Meltan,46.5,2279.0,109.09333333333332,110.52541666666669,2,4 days,2021-09-05
2,850162,51103,Köln,8000,Criador,Meltan,46.5,2279.0,109.09333333333332,110.52541666666669,2,4 days,2021-09-06
3,850162,51103,Köln,8000,Criador,Meltan,46.5,2279.0,109.09333333333332,110.52541666666669,2,4 days,2021-09-07
4,850162,51103,Köln,8000,Criador,Meltan,46.5,2279.0,109.09333333333332,110.52541666666669,2,4 days,2021-09-08
5,1085140,51103,Köln,8000,Criador,Meltan,48.0,2364.0,130.82583333333335,127.9825,2,0 days,2021-09-08
6,1253740,51103,Köln,8000,Criador,Meltan,43.25,2321.5,126.06,124.77916666666664,2,0 days,2021-09-09
7,1446700,51103,Köln,8000,Criador,Meltan,47.75,2321.5,135.34833333333333,130.23333333333332,2,0 days,2021-09-10
8,1685497,51103,Köln,8000,Criador,Meltan,43.0,2364.0,145.23583333333332,138.28625,2,3 days,2021-09-11
9,1685497,51103,Köln,8000,Criador,Meltan,43.0,2364.0,145.23583333333332,138.28625,2,3 days,2021-09-12
10,1685497,51103,Köln,8000,Criador,Meltan,43.0,2364.0,145.23583333333332,138.28625,2,3 days,2021-09-13
11,1685497,51103,Köln,8000,Criador,Meltan,43.0,2364.0,145.23583333333332,138.28625,2,3 days,2021-09-14
12,1727518,51103,Köln,8000,Criador,Meltan,44.5,2279.0,145.23583333333332,138.28625,2,4 days,2021-09-11
13,1727518,51103,Köln,8000,Criador,Meltan,44.5,2279.0,145.23583333333332,138.28625,2,4 days,2021-09-12
14,1727518,51103,Köln,8000,Criador,Meltan,44.5,2279.0,145.23583333333332,138.28625,2,4 days,2021-09-13
15,1727518,51103,Köln,8000,Criador,Meltan,44.5,2279.0,145.23583333333332,138.28625,2,4 days,2021-09-14
16,1727518,51103,Köln,8000,Criador,Meltan,44.5,2279.0,145.23583333333332,138.28625,2,4 days,2021-09-15
17,1984442,51103,Köln,8000,Criador,Meltan,41.0,2364.0,152.17833333333334,143.23833333333334,2,0 days,2021-09-15
18,2151789,51103,Köln,8000,Criador,Meltan,44.5,2321.5,185.13083333333336,168.21166666666667,2,0 days,2021-09-16
19,2443790,51103,Köln,8000,Criador,Meltan,33.5,2298.0,168.36583333333334,158.94291666666666,2,4 days,2021-09-17
20,2443790,51103,Köln,8000,Criador,Meltan,33.5,2298.0,168.36583333333334,158.94291666666666,2,4 days,2021-09-18
21,2443790,51103,Köln,8000,Criador,Meltan,33.5,2298.0,168.36583333333334,158.94291666666666,2,4 days,2021-09-19
22,2443790,51103,Köln,8000,Criador,Meltan,33.5,2298.0,168.36583333333334,158.94291666666666,2,4 days,2021-09-20
23,2443790,51103,Köln,8000,Criador,Meltan,33.5,2298.0,168.36583333333334,158.94291666666666,2,4 days,2021-09-21
24,2872182,51103,Köln,8000,Criador,Meltan,31.0,2298.0,156.20666666666668,149.89208333333332,2,0 days,2021-09-22
25,4351439,51103,Köln,8000,Criador,Meltan,38.5,2413.8,104.54333333333334,100.32666666666668,2,2 days,2021-10-02
26,4351439,51103,Köln,8000,Criador,Meltan,38.5,2413.8,104.54333333333334,100.32666666666668,2,2 days,2021-10-03
27,4351439,51103,Köln,8000,Criador,Meltan,38.5,2413.8,104.54333333333334,100.32666666666668,2,2 days,2021-10-04
28,4567065,51103,Köln,8000,Criador,Meltan,38.0,2413.8,190.5608333333333,158.12083333333334,2,0 days,2021-10-05
29,4749790,51103,Köln,8000,Criador,Meltan,29.5,2388.8,188.81,159.72875,2,0 days,2021-10-06
30,6854623,51103,Köln,8000,Criador,Meltan,14.0,2746.9,68.8425,71.87416666666667,2,2 days,2021-10-23
31,6854623,51103,Köln,8000,Criador,Meltan,14.0,2746.9,68.8425,71.87416666666667,2,2 days,2021-10-24
32,6854623,51103,Köln,8000,Criador,Meltan,14.0,2746.9,68.8425,71.87416666666667,2,2 days,2021-10-25
33,7002727,51103,Köln,8000,Criador,Meltan,18.0,2739.4,204.69333333333336,173.64958333333334,2,0 days,2021-10-26
34,7064546,51103,Köln,8000,Criador,Meltan,16.0,2754.4,204.69333333333336,173.64958333333334,2,1 days,2021-10-26
35,7064546,51103,Köln,8000,Criador,Meltan,16.0,2754.4,204.69333333333336,173.64958333333334,2,1 days,2021-10-27
